iter	RMSE
0	77766.00332
1	77588.79778
2	77417.10654
3	77250.57183
4	77089.74651
5	76935.82596
6	76792.16595
7	76648.64014
8	76509.05561
9	76375.63029
10	76247.89174
11	76122.99584
12	76001.98988
13	75893.4173
14	75784.98566
15	75680.52302
16	75574.45592
17	75474.84855
18	75382.39941
19	75290.44544
20	75198.45891
21	75107.98291
22	75023.7053
23	74937.26966
24	74860.4526
25	74783.98501
26	74708.54691
27	74639.03277
28	74570.90075
29	74505.70437
30	74441.14723
31	74381.88498
32	74324.03919
33	74267.12189
34	74211.30011
35	74155.86232
36	74103.77854
37	74055.25113
38	74004.16374
39	73959.1205
40	73910.60044
41	73863.64484
42	73815.07107
43	73771.2242
44	73728.76643
45	73685.81622
46	73646.53547
47	73606.71994
48	73567.29716
49	73530.49157
50	73495.31424
51	73460.27452
52	73428.2994
53	73399.32621
54	73369.04684
55	73338.83687
56	73313.63974
57	73286.34547
58	73259.5755
59	73233.1451
60	73208.51633
61	73183.58744
62	73161.94026
63	73136.36888
64	73106.2849
65	73083.03802
66	73060.11564
67	73040.93862
68	73015.95556
69	72997.46181
70	72978.45428
71	72957.11215
72	72937.95685
73	72919.77281
74	72901.78563
75	72883.89781
76	72867.79165
77	72850.33522
78	72831.35344
79	72816.79688
80	72797.85525
81	72786.27823
82	72770.50815
83	72757.4591
84	72745.28849
85	72730.64741
86	72716.80495
87	72705.14771
88	72691.62174
89	72678.51262
90	72666.65329
91	72653.32226
92	72637.36711
93	72625.93299
94	72609.67157
95	72597.33521
96	72586.19514
97	72572.53664
98	72562.35854
99	72552.17594
100	72540.47997
101	72529.4692
102	72518.92305
103	72508.78344
104	72500.15829
105	72490.75567
106	72481.70788
107	72470.54082
108	72461.47515
109	72450.63354
110	72443.58301
111	72436.03733
112	72427.56938
113	72415.53379
114	72406.69782
115	72395.99243
116	72388.04533
117	72380.86576
118	72374.12198
119	72367.71879
120	72362.83994
121	72352.89062
122	72344.8127
123	72338.6345
124	72331.03174
125	72321.25338
126	72309.58775
127	72302.92654
128	72293.59674
129	72286.15543
130	72276.20478
131	72266.97313
132	72259.36282
133	72254.37813
134	72245.01435
135	72236.40697
136	72230.27186
137	72224.64755
138	72216.52449
139	72211.8634
140	72205.8248
141	72197.08025
142	72189.4071
143	72185.62878
144	72177.95133
145	72172.61886
146	72167.8193
147	72162.44909
148	72155.78355
149	72151.43921
150	72144.97618
151	72138.44472
152	72133.34064
153	72127.92467
154	72123.08821
155	72118.11261
156	72116.98048
157	72114.6884
158	72109.83254
159	72101.84156
160	72096.08071
161	72092.06605
162	72087.02967
163	72081.85405
164	72076.74905
165	72072.09436
166	72063.02487
167	72059.13187
168	72055.41772
169	72050.62271
170	72046.763
171	72042.29783
172	72038.04547
173	72035.5069
174	72027.98642
175	72021.61424
176	72017.56454
177	72012.4488
178	72004.08552
179	71998.13764
180	71990.68124
181	71985.21437
182	71981.75911
183	71976.24829
184	71971.61492
185	71966.90397
186	71962.24526
187	71958.421
188	71953.57005
189	71948.66312
190	71943.59505
191	71938.65342
192	71934.88667
193	71930.48878
194	71925.71946
195	71921.75406
196	71919.08147
197	71913.88758
198	71911.21779
199	71905.28698
200	71901.85573
201	71899.3464
202	71895.83132
203	71889.88686
204	71885.88235
205	71884.35662
206	71877.28459
207	71873.1339
208	71869.7135
209	71864.8256
210	71861.60294
211	71857.97147
212	71853.89397
213	71850.45717
214	71843.72552
215	71839.89805
216	71833.63307
217	71829.77099
218	71826.74498
219	71824.44984
220	71819.15927
221	71816.44259
222	71812.57649
223	71806.15112
224	71802.60359
225	71798.85759
226	71795.3221
227	71791.23174
228	71788.66896
229	71784.44186
230	71782.61335
231	71777.74432
232	71774.8339
233	71771.41502
234	71764.97976
235	71761.19149
236	71755.26378
237	71754.50107
238	71749.77587
239	71747.47516
240	71743.67666
241	71742.98206
242	71741.70757
243	71735.37509
244	71731.66899
245	71725.03786
246	71723.853
247	71720.08117
248	71715.14895
249	71711.1595
250	71707.36839
251	71704.38376
252	71698.96021
253	71694.82713
254	71692.53397
255	71690.60691
256	71685.91163
257	71683.56853
258	71677.01054
259	71673.10588
260	71669.66662
261	71667.29505
262	71664.23424
263	71662.59203
264	71661.52721
265	71658.93185
266	71654.79024
267	71649.75417
268	71645.67724
269	71643.48188
270	71639.68408
271	71635.82086
272	71632.35186
273	71628.74914
274	71627.18066
275	71624.91018
276	71619.05195
277	71616.6259
278	71612.10595
279	71607.43659
280	71605.44821
281	71601.39983
282	71598.67799
283	71594.98036
284	71592.1433
285	71588.65976
286	71586.85421
287	71585.65464
288	71582.84518
289	71579.57253
290	71577.96878
291	71573.26611
292	71570.00234
293	71566.6576
294	71564.4567
295	71560.16973
296	71555.38195
297	71551.52661
298	71549.5771
299	71546.36823
300	71542.9944
301	71540.05266
302	71538.26455
303	71536.12808
304	71532.36813
305	71528.28762
306	71523.96426
307	71519.83039
308	71518.50837
309	71515.43809
310	71512.60721
311	71509.03579
312	71508.00602
313	71505.10951
314	71501.98576
315	71498.2769
316	71494.51806
317	71491.1978
318	71485.70518
319	71483.08164
320	71482.22267
321	71477.32695
322	71472.94449
323	71470.21465
324	71466.79675
325	71462.03384
326	71458.32291
327	71456.38331
328	71453.54076
329	71450.83197
330	71447.41004
331	71444.96881
332	71442.21299
333	71441.33173
334	71438.24256
335	71435.28405
336	71432.08872
337	71427.8997
338	71427.09302
339	71424.30847
340	71419.29042
341	71417.39337
342	71413.77669
343	71409.68629
344	71406.46801
345	71403.68578
346	71401.64499
347	71400.23043
348	71392.696
349	71390.55518
350	71388.43299
351	71385.48177
352	71384.40347
353	71383.67732
354	71381.99125
355	71379.42935
356	71374.78841
357	71371.74934
358	71369.46762
359	71367.49444
360	71364.7138
361	71360.78582
362	71358.69392
363	71357.77422
364	71354.8342
365	71352.34616
366	71349.62418
367	71347.02682
368	71344.86592
369	71340.72479
370	71338.04914
371	71337.26639
372	71334.89
373	71333.49595
374	71329.29802
375	71326.91201
