iter	Passed	Remaining
0	4	42048
1	7	37936
2	10	36523
3	14	35790
4	17	35255
5	20	34958
6	24	34707
7	27	34499
8	30	34407
9	34	34301
10	37	34265
11	41	34252
12	44	34205
13	47	34098
14	51	33996
15	54	33950
16	57	33981
17	61	33927
18	64	33875
19	67	33829
20	71	33784
21	74	33743
22	77	33708
23	80	33660
24	84	33622
25	87	33601
26	90	33595
27	94	33567
28	97	33537
29	100	33503
30	104	33478
31	107	33454
32	110	33488
33	114	33475
34	117	33457
35	120	33425
36	124	33394
37	127	33382
38	130	33354
39	133	33348
40	137	33336
41	140	33330
42	144	33346
43	147	33348
44	150	33335
45	154	33326
46	157	33323
47	160	33320
48	164	33317
49	167	33312
50	170	33297
51	173	33274
52	177	33255
53	180	33243
54	183	33225
55	186	33203
56	190	33200
57	193	33201
58	196	33187
59	200	33179
60	203	33175
61	206	33169
62	210	33164
63	213	33159
64	216	33162
65	220	33161
66	223	33155
67	226	33149
68	230	33142
69	233	33136
70	236	33131
71	240	33123
72	243	33116
73	246	33099
74	250	33087
75	253	33067
76	256	33074
77	259	33063
78	263	33058
79	266	33053
80	269	33046
81	273	33045
82	276	33038
83	279	33026
84	283	33025
85	286	33018
86	289	33004
87	292	32993
88	296	32985
89	299	32972
90	302	32965
91	306	32961
92	309	32950
93	312	32941
94	315	32934
95	319	32922
96	322	32910
97	325	32903
98	328	32891
99	332	32883
100	335	32876
101	338	32866
102	342	32874
103	345	32873
104	348	32871
105	352	32864
106	355	32863
107	358	32862
108	362	32858
109	365	32853
110	368	32848
111	371	32841
112	375	32839
113	378	32832
114	382	32835
115	385	32832
116	388	32827
117	391	32825
118	395	32821
119	398	32814
120	401	32807
121	405	32805
122	408	32799
123	411	32791
124	415	32785
125	418	32777
126	421	32771
127	424	32771
128	428	32778
129	431	32776
130	435	32771
131	438	32760
132	441	32758
133	444	32749
134	448	32749
135	451	32751
136	454	32749
137	458	32739
138	461	32735
139	464	32735
140	468	32735
141	471	32731
142	474	32730
143	478	32727
144	481	32727
145	484	32724
146	488	32718
147	491	32714
148	494	32708
149	497	32699
150	501	32696
151	504	32692
152	507	32688
153	511	32681
154	514	32676
155	517	32672
156	521	32667
157	524	32659
158	527	32654
159	530	32649
160	534	32642
161	537	32635
162	540	32633
163	544	32632
164	547	32626
165	550	32624
166	554	32625
167	557	32620
168	560	32616
169	564	32613
170	567	32610
171	570	32608
172	574	32606
173	577	32602
174	580	32598
175	583	32596
176	587	32590
177	590	32586
178	593	32583
179	597	32575
180	600	32566
181	603	32563
182	606	32557
183	610	32551
184	613	32547
185	616	32541
186	620	32539
187	623	32535
188	626	32533
189	630	32530
190	633	32532
191	636	32529
192	640	32523
193	643	32519
194	646	32515
195	650	32513
196	653	32512
197	656	32509
198	660	32506
199	663	32502
200	666	32499
201	669	32497
202	673	32494
203	676	32495
204	680	32493
205	683	32494
206	686	32490
207	690	32486
208	693	32482
209	696	32477
210	699	32473
211	703	32467
212	706	32462
213	709	32456
214	713	32452
215	716	32447
216	719	32443
217	722	32438
218	726	32433
219	729	32430
220	732	32427
221	736	32426
222	739	32424
223	742	32419
224	746	32414
225	749	32412
226	752	32410
227	756	32405
228	759	32405
229	762	32402
230	766	32396
231	769	32395
232	772	32395
233	776	32394
234	779	32392
235	782	32388
236	786	32386
237	789	32384
238	792	32381
239	796	32376
240	799	32373
241	802	32369
242	806	32366
243	809	32363
244	812	32359
245	816	32355
246	819	32355
247	822	32352
248	826	32349
249	829	32347
250	832	32345
251	836	32342
252	839	32338
253	842	32336
254	846	32333
255	849	32331
256	853	32344
257	856	32342
258	859	32338
259	863	32333
260	866	32329
261	869	32324
262	873	32321
263	876	32317
264	879	32316
265	883	32312
266	886	32313
267	889	32309
268	893	32307
269	896	32303
270	899	32301
271	903	32298
272	906	32294
273	909	32291
274	913	32289
275	916	32285
276	919	32281
277	922	32278
278	926	32274
279	929	32271
280	932	32265
281	936	32262
282	939	32261
283	942	32258
284	946	32255
285	949	32251
286	952	32247
287	956	32243
288	959	32239
289	962	32236
290	966	32233
291	969	32230
292	972	32227
293	976	32225
294	979	32223
295	982	32220
296	986	32217
297	989	32215
298	992	32212
299	996	32210
300	999	32209
301	1002	32205
302	1006	32200
303	1009	32197
304	1012	32194
305	1016	32192
306	1019	32192
307	1022	32191
308	1026	32190
309	1029	32187
310	1033	32184
311	1036	32182
312	1039	32181
313	1043	32177
314	1046	32177
315	1049	32173
316	1053	32170
317	1056	32170
318	1059	32167
319	1063	32164
320	1066	32162
321	1069	32157
322	1073	32153
323	1076	32151
324	1079	32146
325	1083	32143
326	1086	32140
327	1089	32138
328	1093	32134
329	1096	32134
330	1099	32130
331	1103	32127
332	1106	32123
333	1109	32120
334	1113	32116
335	1116	32113
336	1119	32110
337	1123	32107
338	1126	32104
339	1129	32102
340	1133	32098
341	1136	32098
342	1139	32094
343	1143	32092
344	1146	32090
345	1149	32086
346	1153	32084
347	1156	32083
348	1160	32079
349	1163	32078
350	1166	32074
351	1170	32072
352	1173	32069
353	1176	32067
354	1180	32065
355	1183	32063
356	1186	32061
357	1190	32059
358	1193	32057
359	1197	32055
360	1200	32053
361	1203	32051
362	1207	32048
363	1210	32045
364	1213	32044
365	1217	32042
366	1220	32039
367	1224	32038
368	1227	32035
369	1230	32031
370	1234	32028
371	1237	32027
372	1240	32026
373	1244	32023
374	1247	32021
375	1250	32018
376	1254	32014
377	1257	32010
378	1260	32010
379	1264	32009
380	1267	32008
381	1271	32005
382	1274	32003
383	1277	32000
384	1281	31998
385	1284	31995
386	1287	31990
387	1291	31988
388	1294	31985
389	1297	31967
390	1300	31964
391	1303	31960
392	1307	31956
393	1310	31954
394	1313	31951
395	1317	31948
396	1320	31945
397	1323	31942
398	1327	31940
399	1330	31936
400	1334	31934
401	1337	31930
402	1340	31926
403	1343	31923
404	1347	31920
405	1350	31917
406	1354	31915
407	1357	31912
408	1360	31910
409	1364	31907
410	1367	31905
411	1370	31901
412	1374	31900
413	1377	31898
414	1380	31895
415	1384	31893
416	1387	31890
417	1390	31869
418	1393	31869
419	1397	31865
420	1400	31862
421	1403	31859
422	1407	31857
423	1410	31854
424	1413	31852
425	1417	31850
426	1420	31847
427	1423	31845
428	1427	31841
429	1430	31838
430	1433	31836
431	1437	31833
432	1440	31833
433	1444	31830
434	1447	31826
435	1450	31824
436	1454	31822
437	1457	31815
438	1460	31813
439	1464	31810
440	1467	31808
441	1470	31806
442	1474	31803
443	1477	31800
444	1480	31797
445	1484	31793
446	1487	31790
447	1490	31785
448	1494	31781
449	1497	31778
450	1500	31774
451	1504	31770
452	1507	31767
453	1510	31765
454	1514	31763
455	1517	31760
456	1520	31757
457	1524	31753
458	1527	31752
459	1530	31749
460	1534	31745
461	1537	31743
462	1541	31742
463	1544	31739
464	1547	31736
465	1551	31733
466	1554	31730
467	1557	31727
468	1561	31728
469	1564	31727
470	1568	31723
471	1571	31718
472	1574	31713
473	1577	31709
474	1581	31705
475	1584	31701
476	1587	31697
477	1590	31691
478	1594	31687
479	1597	31682
480	1600	31679
481	1604	31674
482	1607	31670
483	1610	31665
484	1613	31661
485	1617	31657
486	1620	31653
487	1623	31648
488	1626	31643
489	1630	31639
490	1633	31634
491	1636	31630
492	1640	31626
493	1643	31621
494	1646	31616
495	1649	31611
496	1653	31607
497	1656	31604
498	1659	31598
499	1662	31594
500	1666	31589
501	1669	31585
502	1672	31580
503	1675	31576
504	1679	31571
505	1682	31568
506	1685	31563
507	1688	31558
508	1692	31554
509	1695	31549
510	1698	31545
511	1701	31539
512	1706	31554
513	1709	31549
514	1712	31545
515	1716	31541
516	1719	31536
517	1722	31532
518	1725	31528
519	1729	31523
520	1732	31518
521	1735	31515
522	1738	31510
523	1742	31506
524	1745	31503
525	1749	31503
526	1752	31500
527	1755	31497
528	1759	31493
529	1762	31489
530	1765	31486
531	1769	31486
532	1772	31482
533	1775	31477
534	1779	31473
535	1782	31469
536	1785	31465
537	1788	31462
538	1792	31457
539	1795	31453
540	1798	31448
541	1801	31443
542	1805	31440
543	1808	31437
544	1812	31438
545	1815	31436
546	1818	31432
547	1822	31428
548	1825	31424
549	1828	31421
550	1832	31418
551	1835	31414
552	1838	31410
553	1841	31406
554	1845	31402
555	1848	31398
556	1851	31395
557	1855	31392
558	1858	31388
559	1861	31383
560	1865	31380
561	1868	31376
562	1871	31372
563	1874	31368
564	1878	31363
565	1881	31358
566	1884	31356
567	1888	31352
568	1891	31349
569	1894	31345
570	1897	31341
571	1901	31338
572	1904	31334
573	1907	31330
574	1911	31327
575	1914	31322
576	1917	31319
577	1921	31314
578	1924	31310
579	1927	31307
580	1930	31304
581	1934	31301
582	1937	31296
583	1940	31292
584	1944	31288
585	1947	31284
586	1950	31280
587	1953	31276
588	1957	31272
589	1960	31268
590	1963	31264
591	1967	31260
592	1970	31258
593	1973	31256
594	1977	31252
595	1980	31248
596	1983	31244
597	1986	31240
598	1990	31235
599	1993	31231
600	1996	31227
601	2000	31223
602	2003	31219
603	2006	31215
604	2009	31211
605	2013	31209
606	2016	31205
607	2019	31198
608	2022	31194
609	2026	31191
610	2029	31188
611	2032	31184
612	2036	31181
613	2039	31177
614	2042	31173
615	2046	31169
616	2049	31163
617	2052	31159
618	2055	31155
619	2058	31150
620	2062	31146
621	2065	31142
622	2068	31138
623	2072	31133
624	2075	31130
625	2078	31126
626	2081	31122
627	2085	31118
628	2088	31113
629	2091	31109
630	2094	31106
631	2098	31100
632	2101	31096
633	2104	31096
634	2108	31092
635	2111	31088
636	2114	31084
637	2118	31081
638	2121	31077
639	2123	31060
640	2127	31056
641	2130	31051
642	2133	31048
643	2136	31043
644	2140	31039
645	2143	31035
646	2146	31032
647	2150	31031
648	2153	31030
649	2156	31026
650	2160	31022
651	2163	31018
652	2166	31015
653	2170	31013
654	2173	31009
655	2177	31010
656	2180	31006
657	2183	31002
658	2186	30998
659	2190	30995
660	2193	30991
661	2196	30987
662	2200	30985
663	2203	30982
664	2206	30978
665	2210	30976
666	2213	30973
667	2216	30969
668	2220	30965
669	2223	30961
670	2226	30957
671	2230	30954
672	2233	30950
673	2236	30946
674	2239	30942
675	2243	30938
676	2246	30935
677	2249	30931
678	2252	30927
679	2256	30924
680	2259	30921
681	2262	30917
682	2266	30914
683	2269	30916
684	2273	30913
685	2276	30909
686	2279	30905
687	2283	30901
688	2286	30898
689	2289	30894
690	2293	30890
691	2296	30886
692	2299	30882
693	2302	30878
694	2306	30875
695	2309	30871
696	2312	30866
697	2315	30862
698	2319	30858
699	2322	30854
700	2325	30850
701	2328	30846
702	2332	30843
703	2335	30839
704	2338	30836
705	2342	30833
706	2345	30830
707	2348	30826
708	2352	30822
709	2355	30818
710	2358	30813
711	2361	30810
712	2365	30806
713	2368	30802
714	2371	30799
715	2375	30795
716	2378	30792
717	2381	30789
718	2384	30784
719	2388	30781
720	2391	30777
721	2394	30774
722	2398	30770
723	2401	30767
724	2404	30763
725	2408	30760
726	2411	30755
727	2414	30752
728	2417	30748
729	2421	30744
730	2424	30741
731	2427	30737
732	2430	30734
733	2434	30730
734	2437	30726
735	2440	30722
736	2444	30719
737	2447	30715
738	2450	30711
739	2453	30708
740	2457	30703
741	2460	30700
742	2463	30696
743	2467	30692
744	2470	30688
745	2473	30684
746	2476	30680
747	2480	30676
748	2483	30672
749	2486	30668
750	2489	30664
751	2493	30661
752	2496	30657
753	2499	30653
754	2503	30649
755	2506	30646
756	2509	30642
757	2512	30638
758	2516	30634
759	2519	30630
760	2522	30626
761	2525	30623
762	2529	30619
763	2532	30616
764	2535	30612
765	2539	30609
766	2542	30606
767	2545	30602
768	2549	30599
769	2552	30595
770	2555	30591
771	2558	30587
772	2561	30577
773	2564	30573
774	2568	30570
775	2571	30566
776	2574	30562
777	2577	30557
778	2581	30554
779	2584	30550
780	2587	30546
781	2591	30542
782	2594	30538
783	2597	30534
784	2600	30530
785	2604	30527
786	2606	30516
787	2610	30512
788	2613	30508
789	2616	30505
790	2619	30501
791	2623	30497
792	2626	30493
793	2629	30489
794	2633	30486
795	2636	30482
796	2639	30478
797	2642	30474
798	2646	30471
